split,label,manipulation,source_dataset,source_group,filename
train,manipulated,splice,synthetic_starter,36,source_0036_splice.jpg
train,authentic,none,synthetic_starter,37,source_0037_authentic.jpg
train,manipulated,removal,synthetic_starter,37,source_0037_removal.jpg
train,authentic,none,synthetic_starter,38,source_0038_authentic.jpg
train,manipulated,retouch,synthetic_starter,38,source_0038_retouch.jpg
train,authentic,none,synthetic_starter,39,source_0039_authentic.jpg
train,manipulated,recompression,synthetic_starter,39,source_0039_recompression.jpg
train,authentic,none,synthetic_starter,40,source_0040_authentic.jpg
train,manipulated,copy_move,synthetic_starter,40,source_0040_copy_move.jpg
train,authentic,none,synthetic_starter,41,source_0041_authentic.jpg
train,manipulated,splice,synthetic_starter,41,source_0041_splice.jpg
train,authentic,none,synthetic_starter,42,source_0042_authentic.jpg
train,manipulated,removal,synthetic_starter,42,source_0042_removal.jpg
train,authentic,none,synthetic_starter,43,source_0043_authentic.jpg
train,manipulated,retouch,synthetic_starter,43,source_0043_retouch.jpg
train,authentic,none,synthetic_starter,44,source_0044_authentic.jpg
train,manipulated,recompression,synthetic_starter,44,source_0044_recompression.jpg
train,authentic,none,synthetic_starter,45,source_0045_authentic.jpg
train,manipulated,copy_move,synthetic_starter,45,source_0045_copy_move.jpg
train,authentic,none,synthetic_starter,46,source_0046_authentic.jpg
train,manipulated,splice,synthetic_starter,46,source_0046_splice.jpg
train,authentic,none,synthetic_starter,47,source_0047_authentic.jpg
train,manipulated,removal,synthetic_starter,47,source_0047_removal.jpg
train,authentic,none,synthetic_starter,48,source_0048_authentic.jpg
train,manipulated,retouch,synthetic_starter,48,source_0048_retouch.jpg
train,authentic,none,synthetic_starter,49,source_0049_authentic.jpg
train,manipulated,recompression,synthetic_starter,49,source_0049_recompression.jpg
train,authentic,none,synthetic_starter,50,source_0050_authentic.jpg
train,manipulated,copy_move,synthetic_starter,50,source_0050_copy_move.jpg
train,authentic,none,synthetic_starter,51,source_0051_authentic.jpg
train,manipulated,splice,synthetic_starter,51,source_0051_splice.jpg
train,authentic,none,synthetic_starter,52,source_0052_authentic.jpg
train,manipulated,removal,synthetic_starter,52,source_0052_removal.jpg
train,authentic,none,synthetic_starter,53,source_0053_authentic.jpg
train,manipulated,retouch,synthetic_starter,53,source_0053_retouch.jpg
train,authentic,none,synthetic_starter,54,source_0054_authentic.jpg
train,manipulated,recompression,synthetic_starter,54,source_0054_recompression.jpg
train,authentic,none,synthetic_starter,55,source_0055_authentic.jpg
train,manipulated,copy_move,synthetic_starter,55,source_0055_copy_move.jpg
train,authentic,none,synthetic_starter,56,source_0056_authentic.jpg
train,manipulated,splice,synthetic_starter,56,source_0056_splice.jpg
train,authentic,none,synthetic_starter,57,source_0057_authentic.jpg
train,manipulated,removal,synthetic_starter,57,source_0057_removal.jpg
train,authentic,none,synthetic_starter,58,source_0058_authentic.jpg
train,manipulated,retouch,synthetic_starter,58,source_0058_retouch.jpg
train,authentic,none,synthetic_starter,59,source_0059_authentic.jpg
train,manipulated,recompression,synthetic_starter,59,source_0059_recompression.jpg
train,authentic,none,synthetic_starter,60,source_0060_authentic.jpg
train,manipulated,copy_move,synthetic_starter,60,source_0060_copy_move.jpg
train,authentic,none,synthetic_starter,61,source_0061_authentic.jpg
train,manipulated,splice,synthetic_starter,61,source_0061_splice.jpg
train,authentic,none,synthetic_starter,62,source_0062_authentic.jpg
train,manipulated,removal,synthetic_starter,62,source_0062_removal.jpg
train,authentic,none,synthetic_starter,63,source_0063_authentic.jpg
train,manipulated,retouch,synthetic_starter,63,source_0063_retouch.jpg
train,authentic,none,synthetic_starter,64,source_0064_authentic.jpg
train,manipulated,recompression,synthetic_starter,64,source_0064_recompression.jpg
train,authentic,none,synthetic_starter,65,source_0065_authentic.jpg
train,manipulated,copy_move,synthetic_starter,65,source_0065_copy_move.jpg
train,authentic,none,synthetic_starter,66,source_0066_authentic.jpg
train,manipulated,splice,synthetic_starter,66,source_0066_splice.jpg
train,authentic,none,synthetic_starter,67,source_0067_authentic.jpg
train,manipulated,removal,synthetic_starter,67,source_0067_removal.jpg
train,authentic,none,synthetic_starter,68,source_0068_authentic.jpg
train,manipulated,retouch,synthetic_starter,68,source_0068_retouch.jpg
train,authentic,none,synthetic_starter,69,source_0069_authentic.jpg
train,manipulated,recompression,synthetic_starter,69,source_0069_recompression.jpg
train,authentic,none,synthetic_starter,70,source_0070_authentic.jpg
train,manipulated,copy_move,synthetic_starter,70,source_0070_copy_move.jpg
train,authentic,none,synthetic_starter,71,source_0071_authentic.jpg
train,manipulated,splice,synthetic_starter,71,source_0071_splice.jpg
train,authentic,none,synthetic_starter,72,source_0072_authentic.jpg
train,manipulated,removal,synthetic_starter,72,source_0072_removal.jpg
train,authentic,none,synthetic_starter,73,source_0073_authentic.jpg
train,manipulated,retouch,synthetic_starter,73,source_0073_retouch.jpg
train,authentic,none,synthetic_starter,74,source_0074_authentic.jpg
train,manipulated,recompression,synthetic_starter,74,source_0074_recompression.jpg
train,authentic,none,synthetic_starter,75,source_0075_authentic.jpg
train,manipulated,copy_move,synthetic_starter,75,source_0075_copy_move.jpg
train,authentic,none,synthetic_starter,76,source_0076_authentic.jpg
train,manipulated,splice,synthetic_starter,76,source_0076_splice.jpg
train,authentic,none,synthetic_starter,77,source_0077_authentic.jpg
train,manipulated,removal,synthetic_starter,77,source_0077_removal.jpg
train,authentic,none,synthetic_starter,78,source_0078_authentic.jpg
train,manipulated,retouch,synthetic_starter,78,source_0078_retouch.jpg
train,authentic,none,synthetic_starter,79,source_0079_authentic.jpg
train,manipulated,recompression,synthetic_starter,79,source_0079_recompression.jpg
validation,authentic,none,synthetic_starter,80,source_0080_authentic.jpg
validation,manipulated,copy_move,synthetic_starter,80,source_0080_copy_move.jpg
validation,authentic,none,synthetic_starter,81,source_0081_authentic.jpg
validation,manipulated,splice,synthetic_starter,81,source_0081_splice.jpg
validation,authentic,none,synthetic_starter,82,source_0082_authentic.jpg
validation,manipulated,removal,synthetic_starter,82,source_0082_removal.jpg
validation,authentic,none,synthetic_starter,83,source_0083_authentic.jpg
validation,manipulated,retouch,synthetic_starter,83,source_0083_retouch.jpg
validation,authentic,none,synthetic_starter,84,source_0084_authentic.jpg
validation,manipulated,recompression,synthetic_starter,84,source_0084_recompression.jpg
validation,authentic,none,synthetic_starter,85,source_0085_authentic.jpg
validation,manipulated,copy_move,synthetic_starter,85,source_0085_copy_move.jpg
validation,authentic,none,synthetic_starter,86,source_0086_authentic.jpg
validation,manipulated,splice,synthetic_starter,86,source_0086_splice.jpg
validation,authentic,none,synthetic_starter,87,source_0087_authentic.jpg
validation,manipulated,removal,synthetic_starter,87,source_0087_removal.jpg
validation,authentic,none,synthetic_starter,88,source_0088_authentic.jpg
validation,manipulated,retouch,synthetic_starter,88,source_0088_retouch.jpg
validation,authentic,none,synthetic_starter,89,source_0089_authentic.jpg
validation,manipulated,recompression,synthetic_starter,89,source_0089_recompression.jpg
validation,authentic,none,synthetic_starter,90,source_0090_authentic.jpg
validation,manipulated,copy_move,synthetic_starter,90,source_0090_copy_move.jpg
validation,authentic,none,synthetic_starter,91,source_0091_authentic.jpg
validation,manipulated,splice,synthetic_starter,91,source_0091_splice.jpg
validation,authentic,none,synthetic_starter,92,source_0092_authentic.jpg
validation,manipulated,removal,synthetic_starter,92,source_0092_removal.jpg
validation,authentic,none,synthetic_starter,93,source_0093_authentic.jpg
validation,manipulated,retouch,synthetic_starter,93,source_0093_retouch.jpg
validation,authentic,none,synthetic_starter,94,source_0094_authentic.jpg
validation,manipulated,recompression,synthetic_starter,94,source_0094_recompression.jpg
validation,authentic,none,synthetic_starter,95,source_0095_authentic.jpg
validation,manipulated,copy_move,synthetic_starter,95,source_0095_copy_move.jpg
validation,authentic,none,synthetic_starter,96,source_0096_authentic.jpg
validation,manipulated,splice,synthetic_starter,96,source_0096_splice.jpg
validation,authentic,none,synthetic_starter,97,source_0097_authentic.jpg
validation,manipulated,removal,synthetic_starter,97,source_0097_removal.jpg
validation,authentic,none,synthetic_starter,98,source_0098_authentic.jpg
validation,manipulated,retouch,synthetic_starter,98,source_0098_retouch.jpg
validation,authentic,none,synthetic_starter,99,source_0099_authentic.jpg
validation,manipulated,recompression,synthetic_starter,99,source_0099_recompression.jpg
test,authentic,none,synthetic_starter,100,source_0100_authentic.jpg
test,manipulated,copy_move,synthetic_starter,100,source_0100_copy_move.jpg
test,authentic,none,synthetic_starter,101,source_0101_authentic.jpg
test,manipulated,splice,synthetic_starter,101,source_0101_splice.jpg
test,authentic,none,synthetic_starter,102,source_0102_authentic.jpg
test,manipulated,removal,synthetic_starter,102,source_0102_removal.jpg
test,authentic,none,synthetic_starter,103,source_0103_authentic.jpg
test,manipulated,retouch,synthetic_starter,103,source_0103_retouch.jpg
test,authentic,none,synthetic_starter,104,source_0104_authentic.jpg
test,manipulated,recompression,synthetic_starter,104,source_0104_recompression.jpg
test,authentic,none,synthetic_starter,105,source_0105_authentic.jpg
test,manipulated,copy_move,synthetic_starter,105,source_0105_copy_move.jpg
test,authentic,none,synthetic_starter,106,source_0106_authentic.jpg
test,manipulated,splice,synthetic_starter,106,source_0106_splice.jpg
test,authentic,none,synthetic_starter,107,source_0107_authentic.jpg
test,manipulated,removal,synthetic_starter,107,source_0107_removal.jpg
test,authentic,none,synthetic_starter,108,source_0108_authentic.jpg
test,manipulated,retouch,synthetic_starter,108,source_0108_retouch.jpg
test,authentic,none,synthetic_starter,109,source_0109_authentic.jpg
test,manipulated,recompression,synthetic_starter,109,source_0109_recompression.jpg
test,authentic,none,synthetic_starter,110,source_0110_authentic.jpg
test,manipulated,copy_move,synthetic_starter,110,source_0110_copy_move.jpg
test,authentic,none,synthetic_starter,111,source_0111_authentic.jpg
test,manipulated,splice,synthetic_starter,111,source_0111_splice.jpg
test,authentic,none,synthetic_starter,112,source_0112_authentic.jpg
test,manipulated,removal,synthetic_starter,112,source_0112_removal.jpg
test,authentic,none,synthetic_starter,113,source_0113_authentic.jpg
test,manipulated,retouch,synthetic_starter,113,source_0113_retouch.jpg
test,authentic,none,synthetic_starter,114,source_0114_authentic.jpg
test,manipulated,recompression,synthetic_starter,114,source_0114_recompression.jpg
test,authentic,none,synthetic_starter,115,source_0115_authentic.jpg
test,manipulated,copy_move,synthetic_starter,115,source_0115_copy_move.jpg
test,authentic,none,synthetic_starter,116,source_0116_authentic.jpg
test,manipulated,splice,synthetic_starter,116,source_0116_splice.jpg
test,authentic,none,synthetic_starter,117,source_0117_authentic.jpg
test,manipulated,removal,synthetic_starter,117,source_0117_removal.jpg
test,authentic,none,synthetic_starter,118,source_0118_authentic.jpg
test,manipulated,retouch,synthetic_starter,118,source_0118_retouch.jpg
test,authentic,none,synthetic_starter,119,source_0119_authentic.jpg
test,manipulated,recompression,synthetic_starter,119,source_0119_recompression.jpg
